policy,distance_m,trial,segment,recovery_reset,keyframe,phase_success,duration_s,root_position_m,root_xy_m,root_orientation_rad,joint_mae_rad,joint_rmse_rad,joint_max_rad,object_position_m,object_orientation_rad,mean_body_position_m
model_101000.onnx,0.6,3,manipulation,False,stand_before_pick_box,True,1.0002000000001843,0.025752967223525047,0.02064857818186283,0.06591985935817188,0.060848385095596313,0.08195843547582626,0.2275601476430893,0.038673803210258484,0.0,0.0273456908762455
model_101000.onnx,0.6,3,manipulation,False,crouch_to_pick_box,True,1.6836699999995908,0.10872432589530945,0.1085105687379837,0.03780068384290813,0.08409983664751053,0.1197720617055893,0.3607821464538574,0.04074440896511078,0.0,0.11361517012119293
model_101000.onnx,0.6,3,manipulation,False,stand_after_pick_box,True,2.283789999999204,0.08810200542211533,0.08632524311542511,0.05287773315750674,0.09244801104068756,0.11534697562456131,0.31155940890312195,0.03692631455657044,0.7132571097353483,0.10526348650455475
model_101000.onnx,0.6,3,manipulation,False,stand_before_place_box,True,3.617389999998739,0.06354369223117828,0.06178312376141548,0.0353798654659265,0.08006653189659119,0.10335671901702881,0.3081556260585785,0.08496563528943735,0.6541432050286096,0.0739554613828659
model_101000.onnx,0.6,3,manipulation,False,crouch_to_place_box,True,1.7670200000004694,0.09025052934885025,0.08959387987852097,0.05586008762203042,0.08724731206893921,0.11841399222612381,0.3542492091655731,0.20998438730258628,0.12499964454550863,0.08760426193475723
model_101000.onnx,0.6,3,manipulation,False,stand_after_place_box,True,1.5836500000011355,0.02701530046761036,0.022027159109711647,0.05017878552290694,0.05512159317731857,0.07638522982597351,0.24028252065181732,0.20959245955823924,0.12499964454550863,0.038345448672771454
model_101000.onnx,0.8,4,approach,False,approach_box,True,4.5509100000003055,0.08875103294849396,0.08743030577898026,0.05860785608767593,0.05811774730682373,0.07783684134483337,0.23328766226768494,,,0.10581842809915543
model_101000.onnx,0.8,4,manipulation,False,stand_before_pick_box,True,1.0002000000001843,0.01753692701458931,0.009858383797109127,0.052709146474661885,0.06265806406736374,0.08043443411588669,0.23499923944473267,0.038673803210258484,0.0,0.027730414643883705
model_101000.onnx,0.8,4,manipulation,False,crouch_to_pick_box,True,1.8170299999996065,0.09613800048828125,0.09613582491874695,0.048659486266041586,0.08316794782876968,0.11770828068256378,0.36518967151641846,0.040744893820332785,4.891808610614749e-05,0.09606551378965378
model_101000.onnx,0.8,4,manipulation,False,stand_after_pick_box,True,2.2504499999992156,0.08641885966062546,0.08484029769897461,0.05236287083705609,0.0933920294046402,0.11421246081590652,0.30230259895324707,0.029756023530201476,0.7253093206714688,0.10015108436346054
model_101000.onnx,0.8,4,manipulation,False,stand_before_place_box,True,3.70073999999871,0.0402442142367363,0.03723371401429176,0.039186320744789185,0.08577097952365875,0.1061013787984848,0.30900347232818604,0.09580513000077373,0.6387986675720498,0.05341296270489693
model_101000.onnx,0.8,4,manipulation,False,crouch_to_place_box,True,1.7170100000005046,0.060109324753284454,0.05967649444937706,0.05162482316054012,0.09022625535726547,0.12823300063610077,0.41336673498153687,0.24088261725103194,0.03274219292879056,0.06109994277358055
model_101000.onnx,0.8,4,manipulation,False,stand_after_place_box,True,1.5836500000011355,0.02568257972598076,0.0205994825810194,0.046141926840663414,0.05755218118429184,0.07829590886831284,0.2464960217475891,0.24054103909008281,0.03274219292879056,0.038722701370716095
model_101000.onnx,1.0,5,approach,False,approach_box,True,4.934320000000376,0.1306406557559967,0.12969715893268585,0.07556862705288467,0.05844510719180107,0.07703705132007599,0.190931499004364,,,0.13836674392223358
model_101000.onnx,1.0,5,manipulation,False,stand_before_pick_box,True,1.0002000000001843,0.05478671193122864,0.05270957574248314,0.06983357904176256,0.05978720635175705,0.08093224465847015,0.23378263413906097,0.038673803210258484,0.0,0.05142593756318092
model_101000.onnx,1.0,5,manipulation,False,crouch_to_pick_box,True,1.7836899999994138,0.12842455506324768,0.1282113641500473,0.041605433315642225,0.08074934780597687,0.11438710242509842,0.3424554765224457,0.04074486224603018,3.191620021195997e-05,0.13252416253089905
model_101000.onnx,1.0,5,manipulation,False,stand_after_pick_box,True,2.283789999999204,0.10841009765863419,0.1069413423538208,0.0591161668850785,0.0928884968161583,0.11518114805221558,0.3172711730003357,0.009674394706716832,0.7328529196392435,0.12283293157815933
model_101000.onnx,1.0,5,manipulation,False,stand_before_place_box,True,5.3177299999995515,0.02271675318479538,0.01763291470706463,0.042938579467358746,0.07615035027265549,0.09787784516811371,0.2795547842979431,0.11794776405890632,0.6229978029280767,0.03734156861901283
model_101000.onnx,1.0,5,manipulation,False,crouch_to_place_box,True,1.8170300000013029,0.06023743003606796,0.059143781661987305,0.05566900550783873,0.08812026679515839,0.11896579712629318,0.35481467843055725,0.2289700858101786,0.16458428279702703,0.06241750717163086
model_101000.onnx,1.0,5,manipulation,False,stand_after_place_box,True,1.7003400000012192,0.02918953076004982,0.024530358612537384,0.05877331277538753,0.05616169795393944,0.07756446301937103,0.235456645488739,0.22861070926085278,0.16458428279702703,0.04042544588446617
model_101000.onnx,1.2,6,approach,False,approach_box,True,4.667600000000327,0.02752297930419445,0.013561657629907131,0.04360107562427402,0.06902629882097244,0.08896265923976898,0.28208598494529724,,,0.0444478914141655
model_101000.onnx,1.2,6,manipulation,False,stand_before_pick_box,True,1.0002000000001843,0.04960828274488449,0.04691532626748085,0.018052431475566753,0.06824381649494171,0.08609270304441452,0.22693504393100739,0.038673803210258484,0.0,0.05937962979078293
model_101000.onnx,1.2,6,manipulation,False,crouch_to_pick_box,True,1.9170499999995094,0.13284970819950104,0.1327134221792221,0.08761192793634519,0.08619014173746109,0.11024649441242218,0.310970664024353,0.04074440896511078,0.0,0.1279437094926834
model_101000.onnx,1.2,6,manipulation,False,stand_after_pick_box,True,2.200439999999233,0.09302467107772827,0.09198936820030212,0.051526101684617485,0.08929919451475143,0.11563673615455627,0.3455794155597687,0.05500529377591326,0.6245278836423269,0.10258129984140396
model_101000.onnx,1.2,6,manipulation,False,stand_before_place_box,True,4.467559999998711,0.05907006561756134,0.057730384171009064,0.06065703796585119,0.08379269391298294,0.10454817116260529,0.34024614095687866,0.11718892387371406,0.5825203386182081,0.07153309881687164
model_101000.onnx,1.2,6,manipulation,False,crouch_to_place_box,True,1.6836700000012073,0.0825326219201088,0.0820513591170311,0.05798032312886342,0.09057407081127167,0.12257657200098038,0.3621356189250946,0.22595268232667579,0.12284116095961235,0.0752095952630043
model_101000.onnx,1.2,6,manipulation,False,stand_after_place_box,True,1.6003200000011475,0.022656524553894997,0.01631653681397438,0.050124696321515685,0.05569244548678398,0.0768669992685318,0.24123601615428925,0.22558849891660981,0.12284116095961235,0.03394790366292
model_101000.onnx,1.4,7,approach,False,approach_box,True,4.334200000000266,0.09387445449829102,0.09247203171253204,0.06325864340317067,0.05857810005545616,0.0754876434803009,0.16066280007362366,,,0.1031583696603775
model_101000.onnx,1.4,7,manipulation,False,stand_before_pick_box,True,1.1002200000002027,0.020438477396965027,0.013203185051679611,0.058633030576446206,0.05976536124944687,0.08213728666305542,0.22659265995025635,0.038673803210258484,0.0,0.027154188603162766
model_101000.onnx,1.4,7,manipulation,False,crouch_to_pick_box,True,1.7003399999997093,0.10309436172246933,0.10300900042057037,0.03922250410807495,0.08469870686531067,0.12014556676149368,0.36835476756095886,0.04074440896511078,0.0,0.10706715285778046
model_101000.onnx,1.4,7,manipulation,False,stand_after_pick_box,True,2.217109999999227,0.08912408351898193,0.08737020194530487,0.06248294351648665,0.09277146309614182,0.11517126858234406,0.3000441789627075,0.027560681246279452,0.7119160560452658,0.10549958050251007
model_101000.onnx,1.4,7,manipulation,False,stand_before_place_box,True,4.73427999999844,0.06586601585149765,0.06386427581310272,0.05071934996608608,0.08639469742774963,0.11056119203567505,0.3271322250366211,0.08535136611990092,0.6450372957707748,0.07447850704193115
model_101000.onnx,1.4,7,manipulation,False,crouch_to_place_box,True,1.750350000001255,0.08602969348430634,0.08547085523605347,0.0524083567513476,0.08772962540388107,0.12253281474113464,0.3817736804485321,0.22414407074380022,0.06781293335699479,0.08263500779867172
model_101000.onnx,1.4,7,manipulation,False,stand_after_place_box,True,1.6670000000011953,0.02694426104426384,0.022078415378928185,0.04885761732335852,0.05733036622405052,0.07846365869045258,0.2476048320531845,0.2237769439473855,0.06781293335699479,0.039811212569475174
model_101000.onnx,1.6,8,approach,False,approach_box,True,4.367540000000272,0.09365721046924591,0.09214372932910919,0.061540990538486565,0.0646323636174202,0.07899583876132965,0.1788572520017624,,,0.10240431129932404
model_101000.onnx,1.6,8,manipulation,False,stand_before_pick_box,True,1.150230000000212,0.020268430933356285,0.013333362527191639,0.037429561901190955,0.062321972101926804,0.08177723735570908,0.21577073633670807,0.038673803210258484,0.0,0.02720523439347744
model_101000.onnx,1.6,8,manipulation,False,crouch_to_pick_box,True,1.700339999999665,0.1183563619852066,0.11812666803598404,0.03404174413745044,0.08436966687440872,0.11654098331928253,0.34645578265190125,0.04074440896511078,0.0,0.12080732733011246
model_101000.onnx,1.6,8,manipulation,False,stand_after_pick_box,True,2.3171299999991923,0.09328614175319672,0.09173639118671417,0.04648291519254897,0.0915738195180893,0.11398489028215408,0.3168187439441681,0.029597575773535306,0.7110446447193669,0.10936049371957779
model_101000.onnx,1.6,8,manipulation,False,stand_before_place_box,True,6.017869999999556,0.0291918758302927,0.025616545230150223,0.04099372188076248,0.08323034644126892,0.10511632263660431,0.2995392680168152,0.12475800633211152,0.624825123733711,0.03796994313597679
model_101000.onnx,1.6,8,manipulation,False,crouch_to_place_box,True,1.7336800000012431,0.056111566722393036,0.05561557039618492,0.05594877035522285,0.08684149384498596,0.11953041702508926,0.3711431622505188,0.22628880824965272,0.10356883613775154,0.054110877215862274
model_101000.onnx,1.6,8,manipulation,False,stand_after_place_box,True,1.6836700000012073,0.027260063216090202,0.022364405915141106,0.05076325372766087,0.05669118091464043,0.07800178974866867,0.24125313758850098,0.2259251666633837,0.10356883613775154,0.03949030488729477
model_101000.onnx,1.8,9,approach,False,approach_box,True,4.450890000000287,0.1621222048997879,0.1615956723690033,0.05876009436811606,0.0604792982339859,0.07498195022344589,0.23454517126083374,,,0.1703847199678421
model_101000.onnx,1.8,9,manipulation,False,stand_before_pick_box,True,1.0002000000001843,0.06858532875776291,0.06769230961799622,0.059304064666266545,0.0667915865778923,0.08697959780693054,0.2530461847782135,0.038673803210258484,0.0,0.06427107751369476
model_101000.onnx,1.8,9,manipulation,False,crouch_to_pick_box,True,1.7836899999996714,0.1396714150905609,0.13960693776607513,0.041814548082877705,0.08530046045780182,0.11503710597753525,0.34022995829582214,0.04074544579962769,2.639797798672048e-05,0.13987335562705994
model_101000.onnx,1.8,9,manipulation,False,stand_after_pick_box,True,2.3171299999991923,0.12819713354110718,0.1268651932477951,0.058596670812952965,0.09470094740390778,0.1167936697602272,0.32926109433174133,0.02005672169926238,0.7168604358643819,0.14048124849796295
model_101000.onnx,1.8,9,manipulation,False,stand_before_place_box,True,5.4510899999991675,0.04272440820932388,0.03994709998369217,0.03945596963733969,0.08394098281860352,0.10507600009441376,0.30112144351005554,0.11099338520287665,0.593879227986733,0.055599141865968704
model_101000.onnx,1.8,9,manipulation,False,crouch_to_place_box,True,1.767020000001267,0.06788228452205658,0.0671314224600792,0.05297939919353874,0.08832868933677673,0.12459200620651245,0.3951118290424347,0.24313441617147574,0.10382516368691483,0.06792951375246048
model_101000.onnx,1.8,9,manipulation,False,stand_after_place_box,True,1.5836500000011355,0.02606385387480259,0.020852170884609222,0.048484996778763854,0.05578520521521568,0.07724767923355103,0.242845356464386,0.24279600598006953,0.10382516368691483,0.03816688060760498
model_101000.onnx,2.0,10,approach,False,approach_box,True,4.417550000000281,0.13375192880630493,0.13331013917922974,0.06979762101874265,0.059535130858421326,0.07858151942491531,0.2440507560968399,,,0.1439327895641327
model_101000.onnx,2.0,10,manipulation,False,stand_before_pick_box,True,1.0002000000001843,0.030390406027436256,0.027764566242694855,0.04959862617574382,0.06490858644247055,0.08462037146091461,0.24397143721580505,0.038673803210258484,0.0,0.043605122715234756
model_101000.onnx,2.0,10,manipulation,False,crouch_to_pick_box,True,1.7336799999997066,0.10188879072666168,0.1018887460231781,0.047861172548988064,0.08386510610580444,0.11513404548168182,0.3492598235607147,0.04074592985315013,4.6439057062723e-06,0.09674001485109329
model_101000.onnx,2.0,10,manipulation,False,stand_after_pick_box,True,2.2337799999992214,0.10021432489156723,0.09873421490192413,0.056352839201792466,0.09445654600858688,0.11497665196657181,0.31483373045921326,0.051762830614878824,0.709736267358022,0.11049015074968338
model_101000.onnx,2.0,10,manipulation,False,stand_before_place_box,True,5.9345199999993365,0.05479872226715088,0.05263015255331993,0.04108151910534424,0.08493413776159286,0.10712650418281555,0.30558377504348755,0.10194590906556639,0.6346997308601382,0.06480813771486282
model_101000.onnx,2.0,10,manipulation,False,crouch_to_place_box,True,1.750350000001255,0.07789583504199982,0.0774623304605484,0.050142257062479906,0.08567999303340912,0.11770301312208176,0.3599850833415985,0.18339215320932245,0.08226207032428397,0.07468592375516891
model_101000.onnx,2.0,10,manipulation,False,stand_after_place_box,True,1.800360000001291,0.024156613275408745,0.01876681298017502,0.04669063899270122,0.05696326866745949,0.07749482244253159,0.24825704097747803,0.18294326457014262,0.08226207032428397,0.036396801471710205
model_29000_uniform.onnx,0.2,1,approach,False,approach_box,True,5.167700000000419,0.040622226893901825,0.03379610553383827,0.027508357012784576,0.07820305973291397,0.09867087751626968,0.24901890754699707,,,0.06051784008741379
model_29000_uniform.onnx,0.2,1,manipulation,False,stand_before_pick_box,True,1.0002000000000955,0.047492559999227524,0.04470652714371681,0.07190929883221567,0.0776568204164505,0.10646332800388336,0.2639894187450409,0.038673803210258484,0.0,0.06896693259477615
model_29000_uniform.onnx,0.2,1,manipulation,False,crouch_to_pick_box,True,1.8336999999993608,0.07882798463106155,0.07880830764770508,0.04068476737873748,0.09668166190385818,0.13362915813922882,0.3522927463054657,0.04075749414098551,0.00017984060512592255,0.07658127695322037
model_29000_uniform.onnx,0.2,1,manipulation,False,stand_after_pick_box,True,1.9837299999993085,0.09683191776275635,0.0957203358411789,0.034779228895487055,0.07833783328533173,0.10858862847089767,0.37076351046562195,0.0874192821928032,0.7808151424330334,0.11205810308456421
model_29000_uniform.onnx,0.2,1,manipulation,False,stand_before_place_box,True,1.767019999999384,0.18481208384037018,0.18446852266788483,0.09591399072195192,0.08167190104722977,0.10524222999811172,0.3323550522327423,0.17062647465044986,0.8022849768830439,0.20375435054302216
model_29000_uniform.onnx,0.2,1,manipulation,False,crouch_to_place_box,True,13.752750000007465,0.2036954015493393,0.20215198397636414,0.061810834379420726,0.11758745461702347,0.1512446254491806,0.3567855954170227,0.08456303403606173,0.17611965037726232,0.18933676183223724
model_29000_uniform.onnx,0.2,1,manipulation,False,stand_after_place_box,False,2.783890000001996,1.3210761547088623,1.2303105592727661,1.0901867059654078,0.25947901606559753,0.3252321183681488,0.6873542070388794,0.08358506396608029,0.17611965037726232,1.1460500955581665
model_29000_uniform.onnx,0.4,2,approach,False,approach_box,True,4.500900000000296,0.04805724322795868,0.04165147989988327,0.054978278205365924,0.08624286949634552,0.11074745655059814,0.28435298800468445,,,0.06610691547393799
model_29000_uniform.onnx,0.4,2,manipulation,False,stand_before_pick_box,False,9.951989999997812,2.359415292739868,2.321769952774048,1.4832323053527103,0.22521618008613586,0.2974988520145416,0.7285317778587341,1.5162083638999724,1.7302857731202184,2.2757060527801514
