policy,trial,trial_success,keyframe,phase_success,duration_s,root_position_m,root_xy_m,root_orientation_rad,joint_mae_rad,joint_rmse_rad,joint_max_rad,object_position_m,object_orientation_rad,mean_body_position_m
model_29000_uniform.onnx,1,True,stand_after_place_box,True,1.7336800000012431,0.06349165737628937,0.061250392347574234,0.09791276384005841,0.06959288567304611,0.09527191519737244,0.24852685630321503,0.093484710140434,0.1699918141784381,0.0804167240858078
model_29000_uniform.onnx,2,False,approach_box,True,4.500900000000296,0.04805724322795868,0.04165147989988327,0.054978278205365924,0.08624286949634552,0.11074745655059814,0.28435298800468445,,,0.06610691547393799
model_29000_uniform.onnx,2,False,stand_before_pick_box,False,9.951989999997812,2.359415292739868,2.321769952774048,1.4832323053527103,0.22521618008613586,0.2974988520145416,0.7285317778587341,1.5162083638999724,1.7302857731202184,2.2757060527801514
model_29000_uniform.onnx,3,False,approach_box,True,4.117490000000226,0.033663757145404816,0.02338460274040699,0.05198970651136145,0.09184901416301727,0.11565320193767548,0.3076454699039459,,,0.05929117277264595
model_29000_uniform.onnx,3,False,stand_before_pick_box,False,8.051609999998197,3.15594220161438,3.1167843341827393,0.8646349282480238,0.38849419355392456,0.473773717880249,1.1780771017074585,2.0450717419401965,1.7924529076768618,3.058347225189209
model_29000_uniform.onnx,4,False,approach_box,True,4.650930000000324,0.028551196679472923,0.013838477432727814,0.06075530044668795,0.09578215330839157,0.12198296934366226,0.3257918655872345,,,0.06080159917473793
model_29000_uniform.onnx,4,False,stand_before_pick_box,False,9.185169999997518,2.2061679363250732,2.202228307723999,1.4586121421641616,0.3038972318172455,0.4024560749530792,1.0229023694992065,1.3636347064007082,2.265144577686101,2.1396689414978027
model_29000_uniform.onnx,5,False,approach_box,True,4.617590000000318,0.03624624386429787,0.02721799537539482,0.03590264364456588,0.08784005790948868,0.11397150158882141,0.29504042863845825,,,0.06088843569159508
model_29000_uniform.onnx,5,False,stand_before_pick_box,False,9.2851899999975,1.8787226676940918,1.8401672840118408,2.0863132479847906,0.28812557458877563,0.33721011877059937,0.7469869256019592,1.0612794033884962,2.1166613804642807,1.8757038116455078
model_29000_uniform.onnx,6,False,approach_box,True,4.100820000000223,0.03618438541889191,0.02843552455306053,0.06572799226312209,0.08874724805355072,0.11728673428297043,0.3317134380340576,,,0.05734962224960327
model_29000_uniform.onnx,6,False,stand_before_pick_box,False,8.435019999998072,1.7468751668930054,1.7118579149246216,1.8645387538170988,0.30904412269592285,0.4001242220401764,0.9721408486366272,0.9483903511044348,1.769127980815295,1.7193845510482788
model_29000_uniform.onnx,7,False,approach_box,True,6.051210000000555,0.05435142666101456,0.048894114792346954,0.04804002307017381,0.08248887956142426,0.10246352106332779,0.26141971349716187,,,0.06925327330827713
model_29000_uniform.onnx,7,False,stand_before_pick_box,True,1.0001999999996514,0.05560022220015526,0.05415242165327072,0.07639547616162112,0.08707571774721146,0.11342034488916397,0.2666449546813965,0.03867483036482267,7.320635216471531e-05,0.07655970007181168
model_29000_uniform.onnx,7,False,crouch_to_pick_box,True,1.5669799999994538,0.1580226719379425,0.15166981518268585,0.2258391033799947,0.12779471278190613,0.17497724294662476,0.5176659822463989,0.043809690155245905,0.004417712211044187,0.15562710165977478
model_29000_uniform.onnx,7,False,stand_after_pick_box,False,30.0059999999974,0.141769677400589,0.14011605083942413,0.12605902446232053,0.1378970444202423,0.17669080197811127,0.39096376299858093,0.7970513177941292,0.3257784708213517,0.16799545288085938
model_29000_uniform.onnx,8,False,approach_box,True,3.9174500000001893,0.04468262568116188,0.04149618744850159,0.104534106489711,0.08955074101686478,0.10990956425666809,0.286407470703125,,,0.05636187270283699
model_29000_uniform.onnx,8,False,stand_before_pick_box,True,1.0835500000001996,0.01245869230479002,0.009021881967782974,0.16442920755402476,0.09237058460712433,0.11962563544511795,0.2662012577056885,0.03867589790877225,0.00010537935159505696,0.04776531457901001
model_29000_uniform.onnx,8,False,crouch_to_pick_box,True,1.6169899999999693,0.16482536494731903,0.16024358570575714,0.2880810200915693,0.12696713209152222,0.17360736429691315,0.44929730892181396,0.042235750266377985,0.0017498745939065362,0.1709509640932083
